URL	Status	Number of redirects	Redirect Chain	Final URL	Final URL IP	Final URL NS	
handandstoneflowermound.com	301	3	http://handandstoneflowermound.com/sitemap.xml | https://handandstoneflowermound.com/sitemap.xml | http://www.handandstoneflowermound.com/sitemap.xml | 	https://www.handandstoneflowermound.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstoneshortpump.com	301	3	http://handandstoneshortpump.com/sitemap.xml | https://handandstoneshortpump.com/sitemap.xml | http://www.handandstoneshortpump.com/sitemap.xml | 	https://www.handandstoneshortpump.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonechesterfield.com	301	3	http://handandstonechesterfield.com/sitemap.xml | https://handandstonechesterfield.com/sitemap.xml | http://www.handandstonechesterfield.com/sitemap.xml | 	https://www.handandstonechesterfield.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonejupiter.com	301	3	http://handandstonejupiter.com/sitemap.xml | https://handandstonejupiter.com/sitemap.xml | http://www.handandstonejupiter.com/sitemap.xml | 	https://www.handandstonejupiter.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstoneaddison.com	301	3	http://handandstoneaddison.com/sitemap.xml | https://handandstoneaddison.com/sitemap.xml | http://www.handandstoneaddison.com/sitemap.xml | 	https://www.handandstoneaddison.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonewesleychapel.com	301	3	http://handandstonewesleychapel.com/sitemap.xml | https://handandstonewesleychapel.com/sitemap.xml | http://www.handandstonewesleychapel.com/sitemap.xml | 	https://www.handandstonewesleychapel.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonetampafl.com	301	3	http://handandstonetampafl.com/sitemap.xml | https://handandstonetampafl.com/sitemap.xml | http://www.handandstonetampafl.com/sitemap.xml | 	https://www.handandstonetampafl.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonesarasota.com	301	3	http://handandstonesarasota.com/sitemap.xml | https://handandstonesarasota.com/sitemap.xml | http://www.handandstonesarasota.com/sitemap.xml | 	https://www.handandstonesarasota.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonepalmharbor.com	301	3	http://handandstonepalmharbor.com/sitemap.xml | https://handandstonepalmharbor.com/sitemap.xml | http://www.handandstonepalmharbor.com/sitemap.xml | 	https://www.handandstonepalmharbor.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonefortworth.com	301	3	http://handandstonefortworth.com/sitemap.xml | https://handandstonefortworth.com/sitemap.xml | http://www.handandstonefortworth.com/sitemap.xml | 	https://www.handandstonefortworth.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonelakeland.com	301	3	http://handandstonelakeland.com/sitemap.xml | https://handandstonelakeland.com/sitemap.xml | http://www.handandstonelakeland.com/sitemap.xml | 	https://www.handandstonelakeland.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonehamilton.com	301	3	http://handandstonehamilton.com/sitemap.xml | https://handandstonehamilton.com/sitemap.xml | http://www.handandstonehamilton.com/sitemap.xml | 	https://www.handandstonehamilton.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonealameda.com	301	3	http://handandstonealameda.com/sitemap.xml | https://handandstonealameda.com/sitemap.xml | http://www.handandstonealameda.com/sitemap.xml | 	https://www.handandstonealameda.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonechatham.com	301	3	http://handandstonechatham.com/sitemap.xml | https://handandstonechatham.com/sitemap.xml | http://www.handandstonechatham.com/sitemap.xml | 	https://www.handandstonechatham.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstone-northrichlandhills.com	0	0	0	0	0		
handandstone-richmondcarytown.com	301	3	http://handandstone-richmondcarytown.com/sitemap.xml | https://handandstone-richmondcarytown.com/sitemap.xml | http://www.handandstone-richmondcarytown.com/sitemap.xml | 	https://www.handandstone-richmondcarytown.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonebrandon.com	301	3	http://handandstonebrandon.com/sitemap.xml | https://handandstonebrandon.com/sitemap.xml | http://www.handandstonebrandon.com/sitemap.xml | 	https://www.handandstonebrandon.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonecarrollwood.com	301	3	http://handandstonecarrollwood.com/sitemap.xml | https://handandstonecarrollwood.com/sitemap.xml | http://www.handandstonecarrollwood.com/sitemap.xml | 	https://www.handandstonecarrollwood.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonechicagosouthloop.com	301	3	http://handandstonechicagosouthloop.com/sitemap.xml | https://handandstonechicagosouthloop.com/sitemap.xml | http://www.handandstonechicagosouthloop.com/sitemap.xml | 	https://www.handandstonechicagosouthloop.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonewinstonsalem.com	301	3	http://handandstonewinstonsalem.com/sitemap.xml | https://handandstonewinstonsalem.com/sitemap.xml | http://www.handandstonewinstonsalem.com/sitemap.xml | 	https://www.handandstonewinstonsalem.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstoneplano.com	301	3	http://handandstoneplano.com/sitemap.xml | https://handandstoneplano.com/sitemap.xml | http://www.handandstoneplano.com/sitemap.xml | 	https://www.handandstoneplano.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstoneflemingisland.com	301	3	http://handandstoneflemingisland.com/sitemap.xml | https://handandstoneflemingisland.com/sitemap.xml | http://www.handandstoneflemingisland.com/sitemap.xml | 	https://www.handandstoneflemingisland.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonelancaster.com	301	3	http://handandstonelancaster.com/sitemap.xml | https://handandstonelancaster.com/sitemap.xml | http://www.handandstonelancaster.com/sitemap.xml | 	https://www.handandstonelancaster.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstoneatlantic.com	301	3	http://handandstoneatlantic.com/sitemap.xml | https://handandstoneatlantic.com/sitemap.xml | http://www.handandstoneatlantic.com/sitemap.xml | 	https://www.handandstoneatlantic.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonestjohnsfl.com	301	3	http://handandstonestjohnsfl.com/sitemap.xml | https://handandstonestjohnsfl.com/sitemap.xml | http://www.handandstonestjohnsfl.com/sitemap.xml | 	https://www.handandstonestjohnsfl.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonemandarinfl.com	301	3	http://handandstonemandarinfl.com/sitemap.xml | https://handandstonemandarinfl.com/sitemap.xml | http://www.handandstonemandarinfl.com/sitemap.xml | 	https://www.handandstonemandarinfl.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonesanrafael.com	301	3	http://handandstonesanrafael.com/sitemap.xml | https://handandstonesanrafael.com/sitemap.xml | http://www.handandstonesanrafael.com/sitemap.xml | 	https://www.handandstonesanrafael.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonegaithersburg.com	301	3	http://handandstonegaithersburg.com/sitemap.xml | https://handandstonegaithersburg.com/sitemap.xml | http://www.handandstonegaithersburg.com/sitemap.xml | 	https://www.handandstonegaithersburg.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonefranklin.com	301	3	http://handandstonefranklin.com/sitemap.xml | https://handandstonefranklin.com/sitemap.xml | http://www.handandstonefranklin.com/sitemap.xml | 	https://www.handandstonefranklin.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonemurfreesboro.com	301	3	http://handandstonemurfreesboro.com/sitemap.xml | https://handandstonemurfreesboro.com/sitemap.xml | http://www.handandstonemurfreesboro.com/sitemap.xml | 	https://www.handandstonemurfreesboro.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonecareersliny.com	0	0	0	0	0		
handandstoneclifton.com	301	3	http://handandstoneclifton.com/sitemap.xml | https://handandstoneclifton.com/sitemap.xml | http://www.handandstoneclifton.com/sitemap.xml | 	https://www.handandstoneclifton.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonelakeoswego.com	301	3	http://handandstonelakeoswego.com/sitemap.xml | https://handandstonelakeoswego.com/sitemap.xml | http://www.handandstonelakeoswego.com/sitemap.xml | 	https://www.handandstonelakeoswego.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonemenomoneefalls.com	301	3	http://handandstonemenomoneefalls.com/sitemap.xml | https://handandstonemenomoneefalls.com/sitemap.xml | http://www.handandstonemenomoneefalls.com/sitemap.xml | 	https://www.handandstonemenomoneefalls.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonechantilly.com	301	3	http://handandstonechantilly.com/sitemap.xml | https://handandstonechantilly.com/sitemap.xml | http://www.handandstonechantilly.com/sitemap.xml | 	https://www.handandstonechantilly.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonereston.com	301	3	http://handandstonereston.com/sitemap.xml | https://handandstonereston.com/sitemap.xml | http://www.handandstonereston.com/sitemap.xml | 	https://www.handandstonereston.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonehaymarket.com	301	3	http://handandstonehaymarket.com/sitemap.xml | https://handandstonehaymarket.com/sitemap.xml | http://www.handandstonehaymarket.com/sitemap.xml | 	https://www.handandstonehaymarket.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonewinchester.com	301	3	http://handandstonewinchester.com/sitemap.xml | https://handandstonewinchester.com/sitemap.xml | http://www.handandstonewinchester.com/sitemap.xml | 	https://www.handandstonewinchester.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstoneolney.com	301	3	http://handandstoneolney.com/sitemap.xml | https://handandstoneolney.com/sitemap.xml | http://www.handandstoneolney.com/sitemap.xml | 	https://www.handandstoneolney.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstoneaustintx.com	301	3	http://handandstoneaustintx.com/sitemap.xml | https://handandstoneaustintx.com/sitemap.xml | http://www.handandstoneaustintx.com/sitemap.xml | 	https://www.handandstoneaustintx.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonesouthaustin.com	301	3	http://handandstonesouthaustin.com/sitemap.xml | https://handandstonesouthaustin.com/sitemap.xml | http://www.handandstonesouthaustin.com/sitemap.xml | 	https://www.handandstonesouthaustin.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstoneaustinaveryranch.com	301	3	http://handandstoneaustinaveryranch.com/sitemap.xml | https://handandstoneaustinaveryranch.com/sitemap.xml | http://www.handandstoneaustinaveryranch.com/sitemap.xml | 	https://www.handandstoneaustinaveryranch.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstoneclark.com	301	3	http://handandstoneclark.com/sitemap.xml | https://handandstoneclark.com/sitemap.xml | http://www.handandstoneclark.com/sitemap.xml | 	https://www.handandstoneclark.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonenaperville.com	301	3	http://handandstonenaperville.com/sitemap.xml | https://handandstonenaperville.com/sitemap.xml | http://www.handandstonenaperville.com/sitemap.xml | 	https://www.handandstonenaperville.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonelittleton.com	301	3	http://handandstonelittleton.com/sitemap.xml | https://handandstonelittleton.com/sitemap.xml | http://www.handandstonelittleton.com/sitemap.xml | 	https://www.handandstonelittleton.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstoneroundrock.com	301	3	http://handandstoneroundrock.com/sitemap.xml | https://handandstoneroundrock.com/sitemap.xml | http://www.handandstoneroundrock.com/sitemap.xml | 	https://www.handandstoneroundrock.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonewebster-clearlake.com	301	3	http://handandstonewebster-clearlake.com/sitemap.xml | https://handandstonewebster-clearlake.com/sitemap.xml | http://www.handandstonewebster-clearlake.com/sitemap.xml | 	https://www.handandstonewebster-clearlake.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonescottsdale.com	301	3	http://handandstonescottsdale.com/sitemap.xml | https://handandstonescottsdale.com/sitemap.xml | http://www.handandstonescottsdale.com/sitemap.xml | 	https://www.handandstonescottsdale.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonenorthscottsdale.com	301	3	http://handandstonenorthscottsdale.com/sitemap.xml | https://handandstonenorthscottsdale.com/sitemap.xml | http://www.handandstonenorthscottsdale.com/sitemap.xml | 	https://www.handandstonenorthscottsdale.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonegoodyear.com	301	3	http://handandstonegoodyear.com/sitemap.xml | https://handandstonegoodyear.com/sitemap.xml | http://www.handandstonegoodyear.com/sitemap.xml | 	https://www.handandstonegoodyear.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstoneanthem.com	301	3	http://handandstoneanthem.com/sitemap.xml | https://handandstoneanthem.com/sitemap.xml | http://www.handandstoneanthem.com/sitemap.xml | 	https://www.handandstoneanthem.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonephoenix.com	301	3	http://handandstonephoenix.com/sitemap.xml | https://handandstonephoenix.com/sitemap.xml | http://www.handandstonephoenix.com/sitemap.xml | 	https://www.handandstonephoenix.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstoneahwatukee.com	301	3	http://handandstoneahwatukee.com/sitemap.xml | https://handandstoneahwatukee.com/sitemap.xml | http://www.handandstoneahwatukee.com/sitemap.xml | 	https://www.handandstoneahwatukee.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonesouthlake.com	301	3	http://handandstonesouthlake.com/sitemap.xml | https://handandstonesouthlake.com/sitemap.xml | http://www.handandstonesouthlake.com/sitemap.xml | 	https://www.handandstonesouthlake.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonewestminster.com	301	3	http://handandstonewestminster.com/sitemap.xml | https://handandstonewestminster.com/sitemap.xml | http://www.handandstonewestminster.com/sitemap.xml | 	https://www.handandstonewestminster.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonecherrycreek.com	301	3	http://handandstonecherrycreek.com/sitemap.xml | https://handandstonecherrycreek.com/sitemap.xml | http://www.handandstonecherrycreek.com/sitemap.xml | 	https://www.handandstonecherrycreek.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonebeachwood.com	301	3	http://handandstonebeachwood.com/sitemap.xml | https://handandstonebeachwood.com/sitemap.xml | http://www.handandstonebeachwood.com/sitemap.xml | 	https://www.handandstonebeachwood.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonemarietta.com	301	3	http://handandstonemarietta.com/sitemap.xml | https://handandstonemarietta.com/sitemap.xml | http://www.handandstonemarietta.com/sitemap.xml | 	https://www.handandstonemarietta.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonedowntowndenver.com	301	3	http://handandstonedowntowndenver.com/sitemap.xml | https://handandstonedowntowndenver.com/sitemap.xml | http://www.handandstonedowntowndenver.com/sitemap.xml | 	https://www.handandstonedowntowndenver.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstoneoswego.com	301	3	http://handandstoneoswego.com/sitemap.xml | https://handandstoneoswego.com/sitemap.xml | http://www.handandstoneoswego.com/sitemap.xml | 	https://www.handandstoneoswego.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonefortworthcampbowie.com	301	3	http://handandstonefortworthcampbowie.com/sitemap.xml | https://handandstonefortworthcampbowie.com/sitemap.xml | http://www.handandstonefortworthcampbowie.com/sitemap.xml | 	https://www.handandstonefortworthcampbowie.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstonedenversouth.com	301	3	http://handandstonedenversouth.com/sitemap.xml | https://handandstonedenversouth.com/sitemap.xml | http://www.handandstonedenversouth.com/sitemap.xml | 	https://www.handandstonedenversouth.com/sitemap.xml	209.17.116.160	ns3b.dns-host.com.	
handandstoneaurorasouthlands.com	301	3	http://handandstoneaurorasouthlands.com/sitemap.xml | https://handandstoneaurorasouthlands.com/sitemap.xml | http://www.handandstoneaurorasouthlands.com/sitemap.xml | 	https://www.handandstoneaurorasouthlands.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
handandstonewayne.com	301	3	http://handandstonewayne.com/sitemap.xml | https://handandstonewayne.com/sitemap.xml | http://www.handandstonewayne.com/sitemap.xml | 	https://www.handandstonewayne.com/sitemap.xml	209.17.116.160	ns3a.dns-host.com.	
