Audit Timestamp,Corp Name,Client ID,Client Name,YL Status,Input URL,Desktop Unpaid CTN,Mobile Unpaid CTN,Desktop Paid CTN,Mobile Paid CTN,DB Unpaid CTN,Show Destination,DB Paid CTN,PPC,YL SSL Status,Final URL,Initial Status, Final Status,Final URL IP,Final URL NS,Analysis - Desktop Unpaid CTN,Analysis - Mobile Unpaid CTN,Analysis - Desktop Paid CTN,Analysis - Mobile Paid CTN,PPC Product,Session Tracking Code,Web Using SSL, Can SSL Be installed
2018-10-23 21:41:38,Painting with a Twist, LLC,272841,Painting With A Twist - Beaumont,LIVE,http://paintingwithatwist.com/studio/beaumont,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,4092237920,False,4092346050,PPC Not Found,0,https://www.paintingwithatwist.com/studio/beaumont,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:41:57,Painting with a Twist, LLC,272842,Painting With A Twist - Flower Mound,LIVE,http://paintingwithatwist.com/studio/flowermound,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,4692401053,False,4692401219,PPC Not Found,0,https://www.paintingwithatwist.com/studio/flowermound,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:42:16,Painting with a Twist, LLC,272843,Painting With A Twist - Pensacola,LIVE,http://paintingwithatwist.com/studio/pensacola,850-471-1450,No Mobile Unpaid Numbers,850-471-1450,No Mobile Paid Numbers,No DB Unpaid Number,No DB Paid Number,PPC Not Found,0,https://www.paintingwithatwist.com/studio/pensacola,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:42:35,Painting with a Twist, LLC,272844,Painting With A Twist - Ferndale,LIVE,http://paintingwithatwist.com/studio/ferndale,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,2483975856,False,2482062297,PPC Not Found,0,https://www.paintingwithatwist.com/studio/ferndale,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:42:57,Painting with a Twist, LLC,272845,Painting With A Twist - Katy,LIVE,http://paintingwithatwist.com/studio/katy,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,8323918858,False,8323918868,PPC Not Found,0,https://www.paintingwithatwist.com/studio/katy,301,200,23.253.135.119,dns2.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:43:16,Painting with a Twist, LLC,272846,Painting With A Twist - Houston,LIVE,http://paintingwithatwist.com/studio/houston,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,7133640581,False,3468004599,PPC Not Found,0,https://www.paintingwithatwist.com/studio/houston,301,200,23.253.135.119,dns2.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:43:35,Painting with a Twist, LLC,272847,Painting With A Twist - Friendswood,LIVE,http://paintingwithatwist.com/studio/friendswood,832-569-2339,No Mobile Unpaid Numbers,832-569-2339,No Mobile Paid Numbers,2818169361,False,2818164432,PPC Not Found,0,https://www.paintingwithatwist.com/studio/friendswood,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:43:57,Painting with a Twist, LLC,272849,Painting With A Twist - Tampa,LIVE,http://paintingwithatwist.com/studio/tampa,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,8133377790,False,8133021081,PPC Not Found,0,https://www.paintingwithatwist.com/studio/tampa,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:44:15,Painting with a Twist, LLC,272851,Painting With A Twist - Monroe,LIVE,http://paintingwithatwist.com/studio/monroe,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,3185381357,False,3184600370,PPC Not Found,0,https://www.paintingwithatwist.com/studio/monroe,301,200,23.253.135.119,dns2.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:44:37,Painting with a Twist, LLC,272852,Painting With A Twist - Murfreesboro,LIVE,http://paintingwithatwist.com/studio/murfreesboro,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,6156175596,False,6156921536,PPC Not Found,0,https://www.paintingwithatwist.com/studio/murfreesboro,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:44:56,Painting with a Twist, LLC,272853,Painting With A Twist - Knoxville,LIVE,http://paintingwithatwist.com/studio/knoxville,865-675-2500,No Mobile Unpaid Numbers,865-675-2500,No Mobile Paid Numbers,8652801318,False,8653665530,PPC Not Found,0,https://www.paintingwithatwist.com/studio/knoxville,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:45:15,Painting with a Twist, LLC,272854,Painting With A Twist - Fort Worth West,LIVE,http://paintingwithatwist.com/studio/fortworthwest,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,6822003923,False,6822003647,PPC Not Found,0,https://www.paintingwithatwist.com/studio/fortworthwest,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:45:35,Painting with a Twist, LLC,272855,Painting With A Twist - Tallahassee,LIVE,http://paintingwithatwist.com/studio/tallahassee,850.222.1385,No Mobile Unpaid Numbers,850.222.1385,No Mobile Paid Numbers,8502961932,False,8507928487,PPC Not Found,0,https://www.paintingwithatwist.com/studio/tallahassee,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:45:54,Painting with a Twist, LLC,272857,Painting With A Twist - Lexington,LIVE,http://paintingwithatwist.com/studio/lexington,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,8593095590,False,8596878873,PPC Not Found,0,https://www.paintingwithatwist.com/studio/lexington,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:46:14,Painting with a Twist, LLC,272858,Painting With A Twist - Arlington,LIVE,http://paintingwithatwist.com/studio/arlington,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,6822381132,False,6822762172,PPC Not Found,0,https://www.paintingwithatwist.com/studio/arlington,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:46:34,Painting with a Twist, LLC,272861,Painting With A Twist - Hattiesburg,LIVE,http://paintingwithatwist.com/studio/hattiesburg,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,6012554737,False,6016025892,PPC Not Found,0,https://www.paintingwithatwist.com/studio/hattiesburg,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:46:54,Painting with a Twist, LLC,272862,Painting With A Twist - Conroe,LIVE,http://paintingwithatwist.com/studio/conroe,936-242-0047,No Mobile Unpaid Numbers,936-242-0047,No Mobile Paid Numbers,9366470661,False,9362352876,PPC Not Found,0,https://www.paintingwithatwist.com/studio/conroe,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:47:14,Painting with a Twist, LLC,272863,Painting With A Twist - Lubbock,LIVE,http://paintingwithatwist.com/studio/lubbock,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,No DB Unpaid Number,8063706236,PPC Not Found,0,https://www.paintingwithatwist.com/studio/lubbock,301,200,23.253.135.119,dns2.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:47:33,Painting with a Twist, LLC,272864,Painting With A Twist - Murray,LIVE,http://paintingwithatwist.com/studio/murray,801-305-4115,No Mobile Unpaid Numbers,801-305-4115,No Mobile Paid Numbers,3857430636,False,3857432487,PPC Not Found,0,https://www.paintingwithatwist.com/studio/murray,301,200,23.253.135.119,dns2.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:47:52,Painting with a Twist, LLC,272865,Painting With A Twist - Germantown,LIVE,http://paintingwithatwist.com/studio/germantown,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,9012212038,False,9012214176,PPC Not Found,0,https://www.paintingwithatwist.com/studio/germantown,301,200,23.253.135.119,dns2.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:48:11,Painting with a Twist, LLC,272866,Painting With A Twist - Charlotte,LIVE,http://paintingwithatwist.com/studio/charlotte,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,7049000298,False,9807851381,PPC Not Found,0,https://www.paintingwithatwist.com/studio/charlotte,301,200,23.253.135.119,dns2.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:48:31,Painting with a Twist, LLC,272868,Painting With A Twist - Orlando,LIVE,http://paintingwithatwist.com/studio/orlando,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,4072875996,False,4079173404,PPC Not Found,0,https://www.paintingwithatwist.com/studio/orlando,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:48:50,Painting with a Twist, LLC,272869,Painting With A Twist - Lakeland,LIVE,http://paintingwithatwist.com/studio/lakeland,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,8638774192,False,8633339868,PPC Not Found,0,https://www.paintingwithatwist.com/studio/lakeland,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:49:12,Painting with a Twist, LLC,272871,Painting With A Twist - San Antonio NW,LIVE,http://paintingwithatwist.com/studio/sanantonio-nw,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,2104044176,False,2109512335,PPC Not Found,0,https://www.paintingwithatwist.com/studio/sanantonio-nw,301,200,23.253.135.119,dns2.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:49:32,Painting with a Twist, LLC,272877,Painting With A Twist - Miami,LIVE,http://paintingwithatwist.com/studio/miami,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,7863756620,False,7866713507,PPC Not Found,0,https://www.paintingwithatwist.com/studio/miami,301,200,23.253.135.119,dns2.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:49:51,Painting with a Twist, LLC,272878,Painting With A Twist - Colorado Springs,LIVE,http://paintingwithatwist.com/studio/coloradosprings,719-591-2455,No Mobile Unpaid Numbers,719-591-2455,No Mobile Paid Numbers,7192472429,False,7199003828,PPC Not Found,0,https://www.paintingwithatwist.com/studio/coloradosprings,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:50:12,Painting with a Twist, LLC,272879,Painting With A Twist - Trinity,LIVE,http://paintingwithatwist.com/studio/trinity,727-376-1112,No Mobile Unpaid Numbers,727-376-1112,No Mobile Paid Numbers,7274784674,False,7275974152,PPC Not Found,0,https://www.paintingwithatwist.com/studio/trinity,301,200,23.253.135.119,dns2.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:50:31,Painting with a Twist, LLC,272881,Painting With A Twist - Columbia,LIVE,http://paintingwithatwist.com/studio/columbia,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,9313985267,False,9313985511,PPC Not Found,0,https://www.paintingwithatwist.com/studio/columbia,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:50:50,Painting with a Twist, LLC,272882,Painting With A Twist - Kingwood,LIVE,http://paintingwithatwist.com/studio/kingwood,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,8324124167,False,8324121328,PPC Not Found,0,https://www.paintingwithatwist.com/studio/kingwood,301,200,23.253.135.119,dns2.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:51:10,Painting with a Twist, LLC,272884,Painting With A Twist - Crevecoeur,LIVE,http://paintingwithatwist.com/studio/crevecoeur,314 434 7928,No Mobile Unpaid Numbers,314 434 7928,No Mobile Paid Numbers,3145144212,False,3145962998,PPC Not Found,0,https://www.paintingwithatwist.com/studio/crevecoeur,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:51:29,Painting with a Twist, LLC,272885,Painting With A Twist - Wayne,LIVE,http://paintingwithatwist.com/studio/wayne,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,4842536039,False,4842536863,PPC Not Found,0,https://www.paintingwithatwist.com/studio/wayne,301,200,23.253.135.119,dns2.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:51:49,Painting with a Twist, LLC,272889,Painting With A Twist - Waco,LIVE,http://paintingwithatwist.com/studio/waco,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,2542304565,False,2542659228,PPC Not Found,0,https://www.paintingwithatwist.com/studio/waco,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:52:08,Painting with a Twist, LLC,272890,Painting With A Twist - Farmington,LIVE,http://paintingwithatwist.com/studio/farmington,248 476-7928,No Mobile Unpaid Numbers,248 476-7928,No Mobile Paid Numbers,2485798701,False,2485799927,PPC Not Found,0,https://www.paintingwithatwist.com/studio/farmington,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
2018-10-23 21:52:29,Painting with a Twist, LLC,272891,Painting With A Twist - College Station,LIVE,http://paintingwithatwist.com/studio/college-station,No Desktop Unpaid Numbers,No Mobile Unpaid Numbers,No Desktop Paid Numbers,No Mobile Paid Numbers,9793144280,False,9792564843,PPC Not Found,0,https://www.paintingwithatwist.com/studio/college-station,301,200,23.253.135.119,dns1.stabletransit.com.,no,no,no,no,PPC Not Found,no,yes,no
