status,url,title,description,h1-1,referer
200,https://www.miracle-ear.com/living-with-hearing-loss,Resources for Living Your Best Life with Hearing Loss,Miracle-Ear offers a lifetime commitment of aftercare benefits and complimentary services to make living with hearing loss simple.,"<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Living with Hearing Loss</h1>,<h1 class=""typo-h3 avenir-med title white-color first-box-color dot-point"">Our Hearing Aids</h1>,<h1 class=""typo-h3 avenir-med title white-color second-box-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color third-box-color dot-point""></h1>,<h1 class=""typo-h3"">Speak to your local specialist</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point"">Travel</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point"">Exercise</h1>,<h1 class=""typo-h3 avenir-med title white-color first-box-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color second-box-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color third-box-color dot-point""></h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/batteries,Hearing Aid Batteries: Rechargeable and Disposable Zinc Air,Did you know replaceable hearing aid batteries are color-coded by size? Learn more about rechargeable hearing aid batteries.,"<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Hearing Aid Batteries</h1>,<h1 class=""typo-h4 pad-bottom-20-xs""></h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/hipaa-policy,Miracle-Ear HIPAA Policy,Miracle-Ear HIPAA Policy.,"<h1 class=""typo-h2 align-center pad-bottom-30-xs"">Your Information. Your Rights. Our Responsibilities.</h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/terms-conditions,Miracle-Ear Terms & Conditions,Terms and Conditions. Miracle-Ear.,,https://www.miracle-ear.com
200,https://www.miracle-ear.com/thank-you-page-book-appointment,Thank you for booking your appointment with Miracle-Ear,Thank you for booking your appointment with Miracle-Ear,"<h1 class=""typo-h2 align-center pad-bottom-30-xs"">Congratulations! <br>You’ve taken your first step to better hearing. <br> We’ll be in touch shortly.</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/faq,Ask a Hearing Expert: Frequently Asked Questions,Questions about hearing loss or hearing health? Check out our expert-answered hearing questions.,"<h1 class=""typo-h2 white-color avenir-med pad-bottom-40-xs pad-bottom-40-lg"">Ask an expert</h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/privacy-policy,Miracle-Ear Privacy Policy,Miracle-Ear privacy policy.,,https://www.miracle-ear.com
200,https://www.miracle-ear.com/contact-us,Contact Miracle-Ear - Speak to a Hearing Specialist,"From questions about Miracle-Ear to hearing aids to hearing health, feel free to reach out to us!","<h1 class=""typo-h2 align-center pad-bottom-30-xs"">We're Here For You</h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/online-booking,Online Booking,,"<h1 class=""typo-h1"">Book an appointment</h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/stories/mary-s-story,Mary's Miracle-Ear Hearing Aid Story: Hearing Music Again,"Learn how Miracle-Ear hearing aids helped Mary hear music, her husband and her grandchildren again.","<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Hearing Music Again</h1>",https://www.miracle-ear.com/signs-of-hearing-loss
200,https://www.miracle-ear.com/hearing-aids/accessories,Hearing Aid Accessories by Miracle-Ear,Miracle-Ear offers a broad catalog of hearing aid accessories to help you stay connected to the people and things you love.,"<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Miracle-Ear Accessories</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point"">Product Comparison</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/quiz,Take the Sound Style Quiz,Are you a Social Butterfly or Culture Aficionado? You’re six questions away from finding out!,,https://www.miracle-ear.com
200,https://www.miracle-ear.com/franchise-opportunities,Franchise Opportunies - Own a Hearing Business,Interested in owning your own hearing business? Be your own boss with the support of Miracle-Ear.,"<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Miracle-Ear Franchise Opportunities</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/hearing-aids/understand-the-price-of-hearing-aids,Understand The Price of Miracle-Ear Hearing Aids,Understand the cost of hearing aids. What are you getting when you purchase a set of hearing aids from Miracle-Ear?,"<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">The Cost of Hearing Aids</h1>,<h1 class=""typo-h4 pad-bottom-20-xs"">Hearing Aids vs. PSAPs</h1>,<h1 class=""typo-h3 avenir-med title white-color first-box-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color second-box-color dot-point"">Learn the Terms</h1>,<h1 class=""typo-h3 avenir-med title white-color third-box-color dot-point""></h1>",https://www.miracle-ear.com/accepting-hearing-loss
200,https://www.miracle-ear.com/why-miracle-ear,Miracle-Ear: We’re More Than Just A Hearing Aid,"Miracle-Ear believes each customer should be able to realize the full potential of their passions, relationships and life, and we're proud to be with them every step of the way. What's most important to us is the relationships we're able to build with each customer. Take a look at how we do so.","<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Discover the Miracle-Ear Difference</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point"">The Cost of Hearing Aids</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/foundation/every-hearing-aid-sold-gives-the-gift-of-sound,Every Hearing Aid Sold Gives the Gift of Sound,"With every hearing aid sold, Miracle-Ear makes a donation to the Miracle-Ear Foundation to give the Gift of Sound to someone in need.","<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">With Every Purchase, You're Giving the Gift of Sound™</h1>,<h1 class=""typo-h3"">Find a Miracle-Ear location near you</h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/blog/how-to-prolong-hearing-aid-battery-life,How To Prolong Hearing Aid Battery Life,"Want to extend your hearing aid battery life? Try these simple, yet effective tips to make them last longer.","<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">How to Make Hearing Aid Batteries Last Longer</h1>,<h1 class=""typo-h2 pad-bottom-20-xs white-color align-center""></h1>",https://www.miracle-ear.com/travel
200,https://www.miracle-ear.com/find-a-miracle-ear-location-near-you,Find Miracle-Ear Hearing Aids Near You,Find a Miracle-Ear hearing aid center near you and schedule your free hearing evaluation!,,https://www.miracle-ear.com
200,https://www.miracle-ear.com/hearing-aids/rechargeable-ric,Rechargeable LI RIC Hearing Aid,"Our 100% Rechargeable RIC offers uncompromised sound quality, direct streaming to both ears and freedom from batteries.","<h1 class=""typo-h1 align-center avenir-med"">Rechargeable LI RIC</h1>,<h1 class=""typo-h3"">Ready to see for yourself?</h1>,<h1 class=""typo-h2 avenir-med title custom-printing"">100% Rechargeable.</h1>,<h1 class=""hide-step-copy typo-h3 avenir-reg title white-color margin-bottom-10"">Ready to experience Miracle-Ear hearing aids for yourself?</h1>,<h1 class=""hide-step-copy typo-h3 avenir-reg title white-color margin-bottom-10"">Call the number above to schedule your first appointment.</h1>,<h1 class=""hide-step-copy typo-h3 avenir-reg title white-color margin-bottom-10"">We’ll work together to find the best solution for you.</h1>",https://www.miracle-ear.com/batteries
200,https://www.miracle-ear.com/hearing-guide,Download Your Free Guide to Better Hearing,Download our free hearing guide and learn more about hearing loss treatment.,"<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Your Guide to Better Hearing</h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/blog/ask-the-expert-airplane-ear,Airplane Ear - How to Deal with it,"Do you feel a lot of pressure and even some pain in my ears, especially when the plane is taking off or landing? Learn how to deal with airplane ear.","<h1 class=""typo-h1 white-color avenir-med"">Ask the Expert: Airplane Ear</h1>",https://www.miracle-ear.com/travel
200,https://www.miracle-ear.com/stories/barb-s-story,Barb’s Hearing-Aid Review [Video] | Miracle-Ear,"Meet Barb, a grandmother whose hearing aids have re-introduced her to life’s precious sounds. Watch Barb’s testimonial now.","<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Barb’s Miracle-Ear Story</h1>,<h1 class=""typo-h2 pad-bottom-20-xs white-color align-center""></h1>,<h1 class=""typo-h3"">Find a Miracle-Ear® Center Near You</h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/blog/troubleshoot-common-hearing-aid-problems,Troubleshoot Common Hearing Aid Problems,"Hearing aids are very complex devices and, just like other pieces of technology, can sometimes experience technical issues. Take a look at some common issues and some steps you can take to troubleshoot hearing aid problems.","<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Troubleshoot Common Hearing Aid Problems</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>",https://www.miracle-ear.com/contact-us
200,https://www.miracle-ear.com/stories/rob-s-story,Rob's Miracle-Ear Hearing Aid Story,"Meet Rob, a father and musician whose hearing aids helped him reconnect with music and relationships.","<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Rob's Miracle-Ear Story</h1>,<h1 class=""typo-h2 pad-bottom-20-xs white-color align-center"">Rob's Story</h1>,<h1 class=""typo-h3"">Find a Miracle-Ear® Center Near You</h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/stories/shelly-s-story,Shelly's Story,,"<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Shelly's Miracle-Ear Story</h1>,<h1 class=""typo-h2 pad-bottom-20-xs white-color align-center""></h1>,<h1 class=""typo-h3"">Find a Miracle-Ear® Center Near You</h1>",https://www.miracle-ear.com
200,https://www.miracle-ear.com/licensing-requirements,State Licensing Requirements for Hearing Aid Businesses,"Licensing requirements for your Miracle-Ear hearing aid business vary in each state. Learn more about cost, degrees, and time requirements in your state.","<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">State Licensing Requirements</h1>",https://www.miracle-ear.com/franchise-opportunities
200,https://www.miracle-ear.com/franchisee-success-stories,Miracle-Ear Franchisee Success Stories,Read how a Miracle-Ear® franchise improved the lives of these business owners.,"<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Miracle-Ear Franchisee Success Stories</h1>",https://www.miracle-ear.com/franchise-opportunities
200,https://www.miracle-ear.com/why-choose-miracle-ear,Why Choose a Miracle-Ear Franchise,"Miracle-Ear is the number 1 recognized brand of hearing aids, but that’s not all. Consider a franchise today.","<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Why Choose Miracle-Ear</h1>",https://www.miracle-ear.com/franchise-opportunities
200,https://www.miracle-ear.com/how-it-works,How to Become a Miracle-Ear Franchisee,"For over 70 years, millions of satisfied customers have trusted their hearing to Miracle-Ear®. There is no better-respected or well-known brand within the industry. Would you like to become a franchisee for the most recognized brand in hearing aids? We’re here to help you every step of the way.","<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">How It Works</h1>",https://www.miracle-ear.com/franchise-opportunities
200,https://www.miracle-ear.com/blog,Miracle-Ear Blog: Resources for Hearing Health,"The Miracle-Ear hearing care blog features information about hearing aids, hearing loss and hearing health. Questions answered by hearing experts.","<h1 class=""typo-h2 white-color avenir-med pad-bottom-30-xs pad-bottom-30-lg"">Blog</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point"">7 Tips for Better Communication</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point"">Ask the Expert: Get the Most Our of Your Hearing Aids</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color first-box-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color second-box-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color third-box-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point"">How Better Hearing Amplifies Life</h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color first-box-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color second-box-color dot-point""></h1>,<h1 class=""typo-h3 avenir-med title white-color third-box-color dot-point""></h1>",https://www.miracle-ear.com
